"Replicate";"Calcified.vertebrae.all";"Genotype";"Treatment";"genotype";"treatment";"calcified_vertebrae"
1;8;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";8
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;11;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";11
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;17;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";17
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;11;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";11
1;11;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";11
1;10;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";10
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;15;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";15
1;9;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";9
1;8;"2_het";"_-PPi_+MB";"abcc6a+/-";"+MB
-PPi";8
1;10;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";10
1;16;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";16
1;14;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";14
1;13;"3_mut";"_-PPi_+MB";"abcc6a-/-";"+MB
-PPi";13
1;15;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";15
1;14;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";14
1;10;"2_het";"_-PPi_-MB";"abcc6a+/-";"-MB
-PPi";10
1;12;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";12
1;6;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";6
1;6;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";6
1;12;"3_mut";"_-PPi_-MB";"abcc6a-/-";"-MB
-PPi";12
