"fish";"treatment_raw";"genotype_raw";"integrated_fluorescence";"positive_area";"mean_positive_fluorescence";"genotype";"treatment"
"A1";"_+PPi_+MB";"3_mut";344851,068194194;17,8;830,203997857408;"abcc6a-/-";"+MB
+PPi"
"A2";"_+PPi_+MB";"3_mut";1057504,35981782;52,7;1713,95702995595;"abcc6a-/-";"+MB
+PPi"
"A3";"_+PPi_+MB";"2_het";369542,516747748;23,7;826,844054016041;"abcc6a+/-";"+MB
+PPi"
"A4";"_+PPi_+MB";"2_het";564546,835660661;34,6;1077,31621264907;"abcc6a+/-";"+MB
+PPi"
"A5";"_+PPi_+MB";"2_het";496818,586468468;32,4;982,392675221518;"abcc6a+/-";"+MB
+PPi"
"B1";"_+PPi_+MB";"2_het";363023,646243243;24,1;901,273492633713;"abcc6a+/-";"+MB
+PPi"
"B2";"_+PPi_+MB";"3_mut";814414,191432432;52,4;1235,98860987896;"abcc6a-/-";"+MB
+PPi"
"B3";"_+PPi_+MB";"3_mut";1163596,96971972;57,1;1814,78867049712;"abcc6a-/-";"+MB
+PPi"
"B4";"_+PPi_+MB";"3_mut";1023162,42918919;55,5;1596,16628710332;"abcc6a-/-";"+MB
+PPi"
"B5";"_+PPi_+MB";"2_het";566403,218618619;35,9;1110,96648960939;"abcc6a+/-";"+MB
+PPi"
"B6";"_+PPi_+MB";"3_mut";787178,028556557;46;1369,7000589829;"abcc6a-/-";"+MB
+PPi"
"C1";"_+PPi_+MB";"2_het";494053,380216216;26,5;774,411404793473;"abcc6a+/-";"+MB
+PPi"
"C2";"_+PPi_+MB";"3_mut";1062094,89953053;55,3;1699,02508452214;"abcc6a-/-";"+MB
+PPi"
"C3";"_+PPi_+MB";"2_het";566240,737780781;39,4;1087,95681198457;"abcc6a+/-";"+MB
+PPi"
"C4";"_+PPi_+MB";"3_mut";1007258,5368008;51,4;1712,33873828303;"abcc6a-/-";"+MB
+PPi"
"C5";"_+PPi_+MB";"3_mut";753038,701107107;48,5;1197,38865869994;"abcc6a-/-";"+MB
+PPi"
"C6";"_+PPi_+MB";"3_mut";891255,951076076;44,3;1655,23729831863;"abcc6a-/-";"+MB
+PPi"
"D1";"_+PPi_+MB";"3_mut";793867,118504505;47,5;1356,84034606185;"abcc6a-/-";"+MB
+PPi"
"D2";"_+PPi_+MB";"2_het";903103,387216216;43,1;1757,3191202107;"abcc6a+/-";"+MB
+PPi"
"D3";"_+PPi_+MB";"2_het";386087,737403403;26,8;869,491390263398;"abcc6a+/-";"+MB
+PPi"
"D4";"_+PPi_+MB";"3_mut";667049,849813814;40,7;1296,55465403487;"abcc6a-/-";"+MB
+PPi"
"D5";"_+PPi_+MB";"2_het";689747,066141141;44,3;1308,12227424038;"abcc6a+/-";"+MB
+PPi"
"D6";"_+PPi_+MB";"3_mut";1362031,55134635;58,6;2109,38322646537;"abcc6a-/-";"+MB
+PPi"
"A1";"_-PPi_+MB";"2_het";290763,618794213;5,3;712,415327608191;"abcc6a+/-";"+MB
-PPi"
"A2";"_-PPi_+MB";"3_mut";859195,576756035;59,9;1198,06657097798;"abcc6a-/-";"+MB
-PPi"
"A3";"_-PPi_+MB";"2_het";301284,742400644;5,9;699,740901830079;"abcc6a+/-";"+MB
-PPi"
"A4";"_-PPi_+MB";"2_het";417244,355309266;26,2;772,644646503576;"abcc6a+/-";"+MB
-PPi"
"A5";"_-PPi_+MB";"2_het";321877,45168771;13,8;815,460026595888;"abcc6a+/-";"+MB
-PPi"
"A6";"_-PPi_+MB";"3_mut";721092,847731252;55,7;1008,74414063192;"abcc6a-/-";"+MB
-PPi"
"B1";"_-PPi_+MB";"2_het";240524,686998929;0;NA;"abcc6a+/-";"+MB
-PPi"
"B2";"_-PPi_+MB";"3_mut";795326,209138608;51,4;1174,05994615519;"abcc6a-/-";"+MB
-PPi"
"B3";"_-PPi_+MB";"2_het";292230,930755199;8,5;678,641395683417;"abcc6a+/-";"+MB
-PPi"
"B4";"_-PPi_+MB";"3_mut";733288,641565593;45,3;1256,96245305271;"abcc6a-/-";"+MB
-PPi"
"B5";"_-PPi_+MB";"2_het";286371,48394147;4,1;668,606326861046;"abcc6a+/-";"+MB
-PPi"
"B6";"_-PPi_+MB";"3_mut";636118,262762232;43,2;1102,10773835063;"abcc6a-/-";"+MB
-PPi"
"C1";"_-PPi_+MB";"3_mut";637433,576055789;43,9;1072,55180408195;"abcc6a-/-";"+MB
-PPi"
"C2";"_-PPi_+MB";"2_het";421380,181201319;15,9;811,83019778906;"abcc6a+/-";"+MB
-PPi"
"C3";"_-PPi_+MB";"3_mut";1029998,01415993;66,9;1348,62735647588;"abcc6a-/-";"+MB
-PPi"
"C4";"_-PPi_+MB";"3_mut";610523,963089131;38;1095,10660352142;"abcc6a-/-";"+MB
-PPi"
"C5";"_-PPi_+MB";"3_mut";686045,532192696;49,8;1004,3224386394;"abcc6a-/-";"+MB
-PPi"
