"metric_id";"metric";"genotype";"comparison_type";"group1";"group2";"comparison";"n_group1";"n_group2";"p_raw";"p_adj_BH";"p_label";"p_raw_formatted";"p_adj_BH_formatted"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a+/-";"Baseline comparison";"-MB
-PPi";"+MB
-PPi";"-MB -PPi vs +MB -PPi";11;10;0,0109885491051309;0,0274713727628274;"*";"1.099e-02";"2.747e-02"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a-/-";"Baseline comparison";"-MB
-PPi";"+MB
-PPi";"-MB -PPi vs +MB -PPi";11;13;0,193254609323872;0,474661262653267;"ns";"1.933e-01";"4.747e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a+/-";"Baseline comparison";"-MB
-PPi";"-MB
+PPi";"-MB -PPi vs -MB +PPi";11;8;0,0722309668187391;0,120384944697899;"ns";"7.223e-02";"1.204e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a-/-";"Baseline comparison";"-MB
-PPi";"-MB
+PPi";"-MB -PPi vs -MB +PPi";11;16;0,117938190460896;0,474661262653267;"ns";"1.179e-01";"4.747e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a+/-";"Baseline comparison";"-MB
-PPi";"+MB
+PPi";"-MB -PPi vs +MB +PPi";11;10;0,14937803674743;0,186722545934287;"ns";"1.494e-01";"1.867e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a-/-";"Baseline comparison";"-MB
-PPi";"+MB
+PPi";"-MB -PPi vs +MB +PPi";11;13;0,401198843649307;0,501416550404866;"ns";"4.012e-01";"5.014e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a+/-";"PPi effect under +MB";"+MB
-PPi";"+MB
+PPi";"+MB -PPi vs +MB +PPi";10;10;3,03997426330979e-05;0,000151998713165489;"***";"3.040e-05";"1.520e-04"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a-/-";"PPi effect under +MB";"+MB
-PPi";"+MB
+PPi";"+MB -PPi vs +MB +PPi";13;13;0,501416550404866;0,501416550404866;"ns";"5.014e-01";"5.014e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a+/-";"MB effect under +PPi";"+MB
+PPi";"-MB
+PPi";"+MB +PPi vs -MB +PPi";10;8;0,308055462235206;0,308055462235206;"ns";"3.081e-01";"3.081e-01"
"calcified_vertebrae_all";"Calcified vertebrae count";"abcc6a-/-";"MB effect under +PPi";"+MB
+PPi";"-MB
+PPi";"+MB +PPi vs -MB +PPi";13;16;0,28479675759196;0,474661262653267;"ns";"2.848e-01";"4.747e-01"
