genotype,genotype_label,AP_bin,AP_bin_mid,n,n_fish,mean_area,sd_area,se_area,ymin,ymax
2_het,abcc6a+/-,"[0,100)",50,17,9,562.0905294117647,481.95903178889563,116.89223501682568,445.198294394939,678.9827644285904
2_het,abcc6a+/-,"[100,200)",150,10,10,2426.4802,1163.2658179475957,367.85695089331784,2058.623249106682,2794.337150893318
2_het,abcc6a+/-,"[200,300)",250,10,10,3382.7962,1170.5111250833781,370.1481181829722,3012.648081817028,3752.9443181829724
2_het,abcc6a+/-,"[300,400)",350,10,10,3227.6735,988.1180381768669,312.47035977361116,2915.2031402263888,3540.143859773611
2_het,abcc6a+/-,"[400,500)",450,11,10,2556.082,942.5557078338659,284.19123880843466,2271.890761191565,2840.2732388084346
2_het,abcc6a+/-,"[500,600)",550,9,9,2373.2424444444446,776.0057592304181,258.66858641013937,2114.573858034305,2631.911030854584
3_mut,abcc6a-/-,"[0,100)",50,2,1,896.5015,470.3228831180766,332.5685,563.933,1229.07
3_mut,abcc6a-/-,"[100,200)",150,6,5,8343.953666666666,4563.183720452889,1862.9119529474224,6481.0417137192435,10206.86561961409
3_mut,abcc6a-/-,"[200,300)",250,3,3,3511.9416666666666,110.58476359939175,63.846143032379956,3448.0955236342866,3575.7878096990466
3_mut,abcc6a-/-,"[300,400)",350,5,5,2966.9102000000003,596.2234665678633,266.6392402052631,2700.2709597947373,3233.549440205263
3_mut,abcc6a-/-,"[400,500)",450,4,4,3120.957,395.5360817270657,197.76804086353286,2923.188959136467,3318.7250408635327
3_mut,abcc6a-/-,"[500,600)",550,3,3,3288.375,554.6722688371938,320.2401837251743,2968.134816274826,3608.615183725174
