"fish";"genotype_raw";"integrated_fluorescence";"positive_area";"mean_positive_fluorescence";"genotype"
"1_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";261988,412231748;51,8;441,836867287753;"abcc6a+/-"
"2_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";139010,955069942;31,7;415,821531172492;"abcc6a+/-"
"3_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";350133,748231623;75,5;452,564641091475;"abcc6a-/-"
"4_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";280110,003163948;65;415,408578035357;"abcc6a-/-"
"5_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";546786,445942786;82,5;651,015160685509;"abcc6a-/-"
"6_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";125465,913907179;39,7;300,885078138455;"abcc6a+/-"
"7_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";107161,004986992;28,7;296,528128968282;"abcc6a+/-"
"8_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";135673,508121839;42,3;259,600621368903;"abcc6a+/-"
"9_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";78377,2107487602;30,1;179,974263753668;"abcc6a-/-"
"10_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";134405,864136228;41,1;303,20884465567;"abcc6a+/-"
"11_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";258954,058582574;70,9;360,457730095979;"abcc6a-/-"
"12_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";107280,16784986;29,9;339,449936723696;"abcc6a+/-"
"13_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";76065,3057721871;31,4;202,661435991522;"abcc6a+/-"
"14_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";174262,889062917;71,4;231,767180158403;"abcc6a-/-"
"15_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";198979,22764812;64,1;299,135724740766;"abcc6a-/-"
"16_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";78978,1511435494;27,5;236,320867293477;"abcc6a+/-"
"17_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";130644,845529513;34,8;346,518905342858;"abcc6a+/-"
"18_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";93085,5962411904;29;290,042457445382;"abcc6a+/-"
"19_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";185365,916372178;49,4;350,247119386727;"abcc6a+/-"
"20_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";257190,820264625;70,4;354,590899498166;"abcc6a-/-"
"21_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";102508,78142687;51,9;163,15430506206;"abcc6a-/-"
"22_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";84152,0952476519;38,6;172,756481040949;"abcc6a+/-"
"23_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"2_het";267717,938874623;53,9;481,757540586028;"abcc6a+/-"
"25_a_SCAMP_output_background_subtracted_Zdepth_normalised_sumIP_hom_het_validation.tif";"3_mut";171522,198928771;65,6;239,073855139043;"abcc6a-/-"
